,n=15,n=16,n=18,n=22,n=25,n=28,n=30,n=31,n=33,n=34,n=35,n=36,n=37,n=38,n=39
df_plv_flat.csv,0.643,0.629,0.639,0.611,0.647,0.653,0.639,0.631,0.643,0.671,0.656,0.651,0.631,0.627,0.635
df_aec_flat.csv,0.568,0.588,0.584,0.605,0.611,0.614,0.613,0.610,0.598,0.581,0.604,0.604,0.605,0.630,0.608
df_aec_eign.csv,0.481,0.478,0.491,0.468,0.468,0.459,0.434,0.492,0.463,0.454,0.445,0.446,0.430,0.418,0.399
df_aec_betw.csv,0.358,0.345,0.350,0.381,0.362,0.312,0.329,0.334,0.318,0.314,0.308,0.333,0.344,0.341,0.348
df_cc_betw.csv,0.506,0.532,0.512,0.530,0.523,0.486,0.468,0.447,0.460,0.452,0.475,0.468,0.459,0.452,0.453
df_plv_betw.csv,0.436,0.454,0.443,0.392,0.401,0.384,0.371,0.384,0.365,0.373,0.356,0.372,0.350,0.345,0.363
df_plv_eign.csv,0.350,0.354,0.346,0.384,0.414,0.408,0.387,0.378,0.391,0.436,0.432,0.443,0.434,0.435,0.432
df_foof_4.csv,0.236,0.238,0.247,0.204,0.220,0.273,0.287,0.279,0.306,0.308,0.295,0.327,0.340,0.329,0.326
df_ps_5fb.csv,0.326,0.326,0.304,0.291,0.313,0.285,0.280,0.311,0.321,0.312,0.304,0.302,0.297,0.317,0.321
df_atm.csv,0.567,0.554,0.520,0.514,0.470,0.515,0.529,0.500,0.498,0.504,0.500,0.512,0.503,0.514,0.517
df_cc.csv,0.466,0.477,0.521,0.511,0.495,0.539,0.565,0.560,0.548,0.556,0.544,0.545,0.540,0.529,0.525
df_atm_betwcentr.csv,0.358,0.350,0.350,0.381,0.362,0.312,0.329,0.334,0.321,0.314,0.308,0.333,0.344,0.341,0.349
df_atm_eigncentr.csv,0.479,0.475,0.489,0.475,0.460,0.454,0.438,0.480,0.454,0.431,0.428,0.427,0.419,0.409,0.403
df_plv_degr.csv,0.407,0.389,0.376,0.345,0.377,0.347,0.321,0.312,0.291,0.311,0.308,0.302,0.322,0.323,0.317
df_aec_degr.csv,0.293,0.286,0.296,0.311,0.366,0.313,0.321,0.315,0.336,0.337,0.318,0.330,0.352,0.356,0.348
df_atm_degr.csv,0.251,0.251,0.263,0.289,0.302,0.276,0.279,0.269,0.286,0.289,0.281,0.274,0.284,0.308,0.317
df_cc_degr.csv,0.396,0.389,0.396,0.447,0.446,0.478,0.455,0.443,0.434,0.421,0.415,0.399,0.400,0.421,0.417
